N-Negative,N-Positive,Randomizer,Layers,Layer 1,Layer 2,Layer 3,Layer 4,Act - 1,Act -2,Act-3,Act-4,Optimizer,Epoch,Loss,Metric,Accuracy Train,Accuracy Test,Delta,FileName,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.616788328,,NN-1B,29072,494,16478,12046,54,58%,4%,90%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.697080314,,NN-1B,29072,494,17004,11520,54,60%,4%,90%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.635036469,,NN-1B,29072,497,17411,11113,51,62%,4%,91%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.649635017,,NN-1B,29072,489,17744,10780,59,63%,4%,89%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.664233565,,NN-1B,29072,431,21237,7287,117,75%,6%,79%,10%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.68978101,,NN-1B,29072,487,17284,11240,61,61%,4%,89%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.718978107,,NN-1B,29072,471,19682,8842,77,69%,5%,86%,10%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.682481766,,NN-1B,29072,486,18264,10260,62,64%,5%,89%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.664233565,,NN-1B,29072,478,17854,10670,70,63%,4%,87%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.675182462,,NN-1B,29072,460,18909,9615,88,67%,5%,84%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.678832114,,NN-1B,29072,484,18494,10030,64,65%,5%,88%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.686131358,,NN-1B,29072,440,20406,8118,108,72%,5%,80%,10%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.671532869,,NN-1B,29072,450,20607,7917,98,72%,5%,82%,10%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.700729907,,NN-1B,29072,449,20042,8482,99,70%,5%,82%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.682481766,,NN-1B,29072,431,19910,8614,117,70%,5%,79%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.678832114,,NN-1B,29072,491,17805,10719,57,63%,4%,90%,8%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.777372241,,NN-1C,29072,469,19563,8961,79,69%,5%,86%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.744525552,,NN-1C,29072,461,19071,9453,87,67%,5%,84%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.751824796,,NN-1C,29072,448,20169,8355,100,71%,5%,82%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.762773752,,NN-1C,29072,440,20831,7693,108,73%,5%,80%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.744525552,,NN-1C,29072,463,19857,8667,85,70%,5%,84%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.762773752,,NN-1C,29072,402,22383,6141,146,78%,6%,73%,11%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7591241,,NN-1C,29072,452,20376,8148,96,72%,5%,82%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-1C,29072,486,18204,10320,62,64%,4%,89%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.766423345,,NN-1C,29072,458,20164,8360,90,71%,5%,84%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.715328455,,NN-1C,29072,444,19785,8739,104,70%,5%,81%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.722627759,,NN-1C,29072,497,16943,11581,51,60%,4%,91%,8%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7408759,,NN-1C,29072,416,21755,6769,132,76%,6%,76%,11%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.806569338,,NN-1C,29072,483,18563,9961,65,66%,5%,88%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-1C,29072,464,19859,8665,84,70%,5%,85%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.755474448,,NN-1C,29072,467,19691,8833,81,69%,5%,85%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.788321197,,NN-1C,29072,450,20168,8356,98,71%,5%,82%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.704379559,,NN-1C,29072,444,19862,8662,104,70%,5%,81%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.762773752,,NN-1C,29072,456,20186,8338,92,71%,5%,83%,10%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-1C,29072,458,19845,8679,90,70%,5%,84%,9%
548,548,50,4,11,11,11,11,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.722627759,,NN-1C,29072,447,19985,8539,101,70%,5%,82%,9%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970800102,,NN-5C,29072,19,28514,10,529,98%,66%,3%,7%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970021427,,NN-5C,29072,10,28497,27,538,98%,27%,2%,3%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970410764,,NN-5C,29072,14,28496,28,534,98%,33%,3%,5%
